w1f.ordinal,w1f.onset,w1f.offset,w1f.w1f,w1m.ordinal,w1m.onset,w1m.offset,w1m.w1m,w2f.ordinal,w2f.onset,w2f.offset,w2f.w2f,w2m.ordinal,w2m.onset,w2m.offset,w2m.w2m,w3f.ordinal,w3f.onset,w3f.offset,w3f.w3f,w3m.ordinal,w3m.onset,w3m.offset,w3m.w3m,w4f.ordinal,w4f.onset,w4f.offset,w4f.w4f,w4m.ordinal,w4m.onset,w4m.offset,w4m.w4m,w5f.ordinal,w5f.onset,w5f.offset,w5f.w5f,w5m.ordinal,w5m.onset,w5m.offset,w5m.w5m,w6f.ordinal,w6f.onset,w6f.offset,w6f.w6f,w6m.ordinal,w6m.onset,w6m.offset,w6m.w6m,w7f.ordinal,w7f.onset,w7f.offset,w7f.w7f,w7m.ordinal,w7m.onset,w7m.offset,w7m.w7m,w8f.ordinal,w8f.onset,w8f.offset,w8f.w8f,w8m.ordinal,w8m.onset,w8m.offset,w8m.w8m,w9f.ordinal,w9f.onset,w9f.offset,w9f.w9f,w9m.ordinal,w9m.onset,w9m.offset,w9m.w9m,
0,1264,1730,"u",0,1777,2411,"k",0,1021,2171,"d",0,960,3726,"k",0,1772,3839,"c",0,2257,5223,"s",0,2138,3737,"e",0,1717,3234,"k",0,4400,11583,"e",0,911,4561,"e",0,3535,4552,"t",,,,,0,907,1074,"c",0,752,2236,"e",0,5179,7845,"e",0,3403,5853,"e",0,1422,1588,"c",0,1405,3286,"e",
1,1964,2497,"u",1,3277,4044,"l",1,2837,4804,"e",1,6043,6310,"c",1,4706,4989,"t",1,5690,5940,"c",1,4171,6237,"d",1,4584,4984,"t",1,14033,14583,"c",1,6878,7194,"l",1,6885,12817,"e",,,,,1,2675,12607,"e",1,3585,4070,"e",1,28494,30044,"e",1,6570,7103,"e",1,1805,7039,"e",1,3820,4637,"e",
2,2796,6280,"e",2,5194,5744,"l",,,,,2,7360,7577,"l",2,5705,7022,"e",2,7207,7540,"l",2,7471,11187,"e",2,6283,6917,"t",2,15583,21533,"e",2,8827,8994,"l",2,16518,17268,"e",,,,,2,13607,17873,"e",2,4801,6868,"e",,,,,2,7870,10754,"e",,,,,2,5419,6137,"e",
,,,,3,8260,8478,"c",,,,,,,,,,,,,3,9674,10074,"l",3,12487,13004,"e",3,8133,8500,"t",3,22166,24549,"e",,,,,,,,,,,,,,,,,3,7718,8857,"e",,,,,3,11487,12337,"l",,,,,3,7236,7453,"c",
,,,,4,15859,16576,"k",,,,,,,,,,,,,,,,,4,16154,16604,"d",4,9217,9533,"t",,,,,,,,,,,,,,,,,,,,,4,9785,10335,"l",,,,,4,13504,14254,"l",,,,,4,8086,8619,"l",
,,,,5,17360,18112,"k",,,,,,,,,,,,,,,,,5,18737,25887,"e",5,13151,13551,"t",,,,,,,,,,,,,,,,,,,,,5,11619,12318,"l",,,,,5,15454,15754,"l",,,,,5,13085,13420,"t",
,,,,6,19612,20012,"l",,,,,,,,,,,,,,,,,6,28203,29103,"e",6,16234,16417,"t",,,,,,,,,,,,,,,,,,,,,6,16819,17253,"l",,,,,6,16487,17054,"l",,,,,6,15085,15752,"c",
,,,,7,22310,22577,"l",,,,,,,,,,,,,,,,,7,29653,30020,"e",7,19250,19467,"t",,,,,,,,,,,,,,,,,,,,,7,17902,18202,"l",,,,,7,18087,18353,"e",,,,,7,17252,18204,"e",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,19037,19303,"k",,,,,8,19418,19904,"l",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,20468,20701,"l",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,22552,22786,"t",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,24220,24604,"l",
