"onset","offset","w1m","onset","offset","w2m","onset","offset","w3m","onset","offset","w4m","onset","offset","w5m","onset","offset","w6m","onset","offset","w7m","onset","offset","w8m","onset","offset","w9m","onset","offset","w1f","onset","offset","w2f","onset","offset","w3f","onset","offset","w4f","onset","offset","w5f","onset","offset","w6f","onset","offset","w7f","onset","offset","w8f","onset","offset","w9f"
" 1777"," 2411","default"," 960","3726","default","2257"," 5223","default"," 1717"," 3234","default"," 911","4561","default","","","","  752"," 2236","default"," 3403"," 5853","default"," 1405"," 3286","default","1264","1730","default","1021","2171","default","1772","3839","default"," 2138"," 3737","default"," 4400","11583","default"," 3535"," 4552","default","  907"," 1074","default"," 5179"," 7845","default","1422","1588","default"
" 3277"," 4044","default","6043","6310","default","5690"," 5940","default"," 4584"," 4984","default","6878","7194","default","","",""," 3585"," 4070","default"," 6570"," 7103","default"," 3820"," 4637","default","1964","2497","default","2837","4804","default","4706","4989","default"," 4171"," 6237","default","14033","14583","default"," 6885","12817","default"," 2675","12607","default","28494","30044","default","1805","7039","default"
" 5194"," 5744","default","7360","7577","default","7207"," 7540","default"," 6283"," 6917","default","8827","8994","default","","",""," 4801"," 6868","default"," 7870","10754","default"," 5419"," 6137","default","2796","6280","default","","","","5705","7022","default"," 7471","11187","default","15583","21533","default","16518","17268","default","13607","17873","default","","","","","",""
" 8260"," 8478","default","","","","9674","10074","default"," 8133"," 8500","default","","","","","",""," 7718"," 8857","default","11487","12337","default"," 7236"," 7453","default","","","","","","","","","","12487","13004","default","22166","24549","default","","","","","","","","","","","",""
"15859","16576","default","","","","","",""," 9217"," 9533","default","","","","","",""," 9785","10335","default","13504","14254","default"," 8086"," 8619","default","","","","","","","","","","16154","16604","default","","","","","","","","","","","","","","",""
"17360","18112","default","","","","","","","13151","13551","default","","","","","","","11619","12318","default","15454","15754","default","13085","13420","default","","","","","","","","","","18737","25887","default","","","","","","","","","","","","","","",""
"19612","20012","default","","","","","","","16234","16417","default","","","","","","","16819","17253","default","16487","17054","default","15085","15752","default","","","","","","","","","","28203","29103","default","","","","","","","","","","","","","","",""
"22310","22577","default","","","","","","","19250","19467","default","","","","","","","17902","18202","default","18087","18353","default","17252","18204","default","","","","","","","","","","29653","30020","default","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","19037","19303","default","19418","19904","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","20468","20701","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","22552","22786","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","24220","24604","default","","","","","","","","","","","","","","","","","","","","","","","","","","",""
